分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 229, IPv6: 0, 最小延迟: 118 ms, 最高速率: 9.53 M/s, 平均速率: 4.28 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 172, IPv6: 0, 最小延迟: 467 ms, 最高速率: 5.89 M/s, 平均速率: 1.93 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 184, IPv6: 0, 最小延迟: 163 ms, 最高速率: 10.62 M/s, 平均速率: 3.38 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 199, IPv6: 0, 最小延迟: 188 ms, 最高速率: 22.03 M/s, 平均速率: 6.60 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 197, IPv6: 0, 最小延迟: 534 ms, 最高速率: 3.54 M/s, 平均速率: 2.30 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 142, IPv6: 0, 最小延迟: 467 ms, 最高速率: 4.18 M/s, 平均速率: 1.75 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 185, IPv6: 0, 最小延迟: 274 ms, 最高速率: 8.12 M/s, 平均速率: 2.27 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 183, IPv6: 0, 最小延迟: 158 ms, 最高速率: 6.99 M/s, 平均速率: 2.46 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 6, IPv4: 181, IPv6: 0, 最小延迟: 136 ms, 最高速率: 18.00 M/s, 平均速率: 5.28 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 182, IPv6: 0, 最小延迟: 470 ms, 最高速率: 5.16 M/s, 平均速率: 2.73 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 187, IPv6: 0, 最小延迟: 488 ms, 最高速率: 0.98 M/s, 平均速率: 0.79 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 6, IPv4: 163, IPv6: 0, 最小延迟: 227 ms, 最高速率: 4.00 M/s, 平均速率: 1.78 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 6, IPv4: 174, IPv6: 0, 最小延迟: 305 ms, 最高速率: 18.04 M/s, 平均速率: 4.07 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 174, IPv6: 0, 最小延迟: 183 ms, 最高速率: 7.03 M/s, 平均速率: 2.04 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 178, IPv6: 0, 最小延迟: 228 ms, 最高速率: 19.34 M/s, 平均速率: 4.89 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 172, IPv6: 0, 最小延迟: 418 ms, 最高速率: 11.70 M/s, 平均速率: 5.02 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 129, IPv6: 0, 最小延迟: 301 ms, 最高速率: 17.39 M/s, 平均速率: 7.09 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 5, IPv4: 143, IPv6: 0, 最小延迟: 181 ms, 最高速率: 11.58 M/s, 平均速率: 3.58 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 5, IPv4: 99, IPv6: 0, 最小延迟: 482 ms, 最高速率: 0.93 M/s, 平均速率: 0.81 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 0, IPv4: 53, IPv6: 0, 最小延迟: 6 ms, 最高速率: 46.47 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: 163 ms, 最高速率: 16.29 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📺央视频道, 名称: CETV-4, 有效: 3, IPv4: 85, IPv6: 0, 最小延迟: 4 ms, 最高速率: 54.55 M/s, 平均速率: 0.80 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 12, IPv6: 0, 最小延迟: 5 ms, 最高速率: 41.30 M/s, 平均速率: 0.00 M/s, 最高分辨率: 19x24
分类: 📡卫视频道, 名称: 广东卫视, 有效: 6, IPv4: 199, IPv6: 0, 最小延迟: 12 ms, 最高速率: 96.58 M/s, 平均速率: 16.84 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 6, IPv4: 186, IPv6: 0, 最小延迟: 29 ms, 最高速率: 28.46 M/s, 平均速率: 9.02 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 163, IPv6: 0, 最小延迟: 259 ms, 最高速率: 16.41 M/s, 平均速率: 4.29 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 北京卫视, 有效: 6, IPv4: 175, IPv6: 0, 最小延迟: 16 ms, 最高速率: 5.97 M/s, 平均速率: 2.08 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 145, IPv6: 0, 最小延迟: 11 ms, 最高速率: 14.05 M/s, 平均速率: 3.58 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 134, IPv6: 0, 最小延迟: 10 ms, 最高速率: 15.76 M/s, 平均速率: 6.80 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 139, IPv6: 0, 最小延迟: 10 ms, 最高速率: 16.19 M/s, 平均速率: 3.85 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 129, IPv6: 0, 最小延迟: 188 ms, 最高速率: 13.56 M/s, 平均速率: 5.72 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 138, IPv6: 0, 最小延迟: 10 ms, 最高速率: 9.38 M/s, 平均速率: 0.82 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 124, IPv6: 0, 最小延迟: 4 ms, 最高速率: 51.38 M/s, 平均速率: 0.79 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 98, IPv6: 0, 最小延迟: 19 ms, 最高速率: 15.39 M/s, 平均速率: 3.69 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 110, IPv6: 0, 最小延迟: 221 ms, 最高速率: 1.60 M/s, 平均速率: 1.15 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 8, IPv4: 119, IPv6: 0, 最小延迟: 199 ms, 最高速率: 16.23 M/s, 平均速率: 2.79 M/s, 最高分辨率: 1920x1080
